,player,year,mp,fga,fg_perc,threepoint_att,threepoint_perc,twopoint_att,twopoint_perc,efg_perc,ft_perc,pts,class
382,D'Angelo Russell,2016-17,28.7,13.8,0.405,6.1,0.352,7.7,0.447,0.483,0.782,15.6,great
385,Dario Šarić,2016-17,26.3,11.4,0.411,4.2,0.311,7.2,0.469,0.468,0.782,12.8,great
398,Marcus Smart,2016-17,30.4,9.5,0.359,4.2,0.283,5.3,0.42,0.422,0.812,10.6,great
411,Jeff Teague,2016-17,32.4,11.1,0.442,3.1,0.357,8.0,0.475,0.492,0.867,15.3,great
437,Nikola Vučević,2016-17,28.8,13.7,0.468,1.0,0.307,12.7,0.481,0.48,0.669,14.6,great
439,Dwyane Wade,2016-17,29.9,15.9,0.434,2.4,0.31,13.5,0.456,0.457,0.794,18.3,great
440,Dion Waiters,2016-17,30.1,14.4,0.424,4.7,0.395,9.7,0.438,0.488,0.646,15.8,great
454,Deron Williams,2016-17,25.9,9.4,0.438,3.7,0.363,5.7,0.486,0.509,0.826,11.0,great
456,Lou Williams,2016-17,24.6,12.3,0.429,5.5,0.365,6.8,0.48,0.511,0.88,17.5,great
457,Marvin Williams,2016-17,30.2,9.3,0.422,4.7,0.35,4.6,0.494,0.51,0.873,11.2,great
461,Justise Winslow,2016-17,34.7,12.5,0.356,1.9,0.2,10.6,0.384,0.371,0.617,10.9,great
469,Nick Young,2016-17,25.9,10.6,0.43,7.0,0.404,3.5,0.481,0.564,0.856,13.2,great
486,Al-Farouq Aminu,2017-18,30.0,8.4,0.395,4.9,0.369,3.5,0.432,0.503,0.738,9.3,great
492,Carmelo Anthony,2017-18,32.1,15.0,0.404,6.1,0.357,8.9,0.437,0.476,0.767,16.2,great
495,Trevor Ariza,2017-18,33.9,9.7,0.412,6.9,0.368,2.8,0.519,0.542,0.854,11.7,great
504,Lonzo Ball,2017-18,34.2,10.8,0.36,5.7,0.305,5.2,0.42,0.44,0.451,10.2,great
505,J.J. Barea,2017-18,23.2,10.0,0.439,4.5,0.367,5.5,0.499,0.522,0.784,11.6,great
507,Will Barton,2017-18,33.1,12.7,0.452,5.2,0.37,7.5,0.51,0.528,0.805,15.7,great
508,Nicolas Batum,2017-18,31.0,10.2,0.415,4.3,0.336,5.9,0.473,0.486,0.831,11.6,great
511,Kent Bazemore,2017-18,27.5,10.4,0.42,4.2,0.394,6.2,0.438,0.5,0.796,12.9,great
515,Marco Belinelli,2017-18,24.3,9.6,0.441,4.9,0.377,4.6,0.509,0.539,0.908,12.1,great
520,Patrick Beverley,2017-18,30.4,10.8,0.403,5.5,0.4,5.4,0.407,0.504,0.824,12.2,great
529,Bogdan Bogdanović,2017-18,27.9,9.9,0.446,4.2,0.392,5.7,0.485,0.529,0.84,11.8,great
535,Avery Bradley,2017-18,31.2,13.6,0.414,4.4,0.369,9.2,0.436,0.474,0.768,14.3,great
540,Dillon Brooks,2017-18,28.7,9.4,0.44,3.2,0.356,6.2,0.484,0.501,0.747,11.0,great
556,Kentavious Caldwell-Pope,2017-18,33.2,10.8,0.426,5.6,0.383,5.2,0.473,0.526,0.789,13.4,great
559,DeMarre Carroll,2017-18,29.9,10.8,0.414,5.4,0.371,5.4,0.457,0.506,0.764,13.5,great
568,Wilson Chandler,2017-18,31.7,8.5,0.445,3.3,0.358,5.2,0.501,0.515,0.772,10.0,great
571,Jordan Clarkson,2017-18,23.3,11.8,0.451,3.9,0.352,7.9,0.5,0.509,0.8,13.9,great
579,Mike Conley,2017-18,31.1,14.0,0.381,6.4,0.312,7.6,0.44,0.452,0.803,17.1,great
586,Robert Covington,2017-18,31.7,10.5,0.413,6.9,0.369,3.6,0.497,0.534,0.853,12.6,great
587,Allen Crabbe,2017-18,29.3,11.0,0.407,7.1,0.378,3.9,0.461,0.529,0.852,13.2,great
589,Jamal Crawford,2017-18,20.7,9.3,0.415,3.9,0.331,5.4,0.477,0.485,0.903,10.3,great
591,Jae Crowder,2017-18,26.1,8.4,0.404,4.3,0.323,4.1,0.488,0.486,0.818,9.7,great
605,Spencer Dinwiddie,2017-18,28.8,10.5,0.387,5.4,0.326,5.1,0.452,0.471,0.813,12.6,great
613,Kris Dunn,2017-18,29.3,12.8,0.429,2.6,0.321,10.2,0.457,0.462,0.737,13.4,great
617,Wayne Ellington,2017-18,26.5,9.1,0.407,7.5,0.392,1.6,0.479,0.569,0.859,11.2,great
630,Yogi Ferrell,2017-18,27.8,8.9,0.426,4.4,0.373,4.5,0.477,0.518,0.796,10.2,great
634,De'Aaron Fox,2017-18,27.8,10.9,0.412,2.1,0.307,8.8,0.436,0.441,0.723,11.6,great
639,Danilo Gallinari,2017-18,32.0,12.2,0.398,5.3,0.324,6.9,0.455,0.469,0.931,15.3,great
641,Marc Gasol,2017-18,33.0,14.2,0.42,4.4,0.341,9.8,0.456,0.473,0.834,17.2,great
650,Aaron Gordon,2017-18,32.9,14.9,0.434,5.9,0.336,9.0,0.497,0.5,0.698,17.6,great
