Rk,PER,BPM,VORP
2475,13.3,-1.9,0.0
2476,14.7,-0.9,0.0
2477,13.4,-2.7,-0.1
2478,-40.6,-46.6,-0.1
2479,10.9,-0.6,0.2
2480,11.6,-2.2,0.0
2481,21.4,4.6,3.6
2482,17.4,3.1,1.4
2483,11.7,-3.0,-0.4
2484,29.2,9.2,0.1
2485,11.6,-2.6,0.0
2486,11.0,-6.7,-0.2
2487,-8.1,-15.7,-0.1
2488,18.7,2.2,1.6
2489,17.5,0.8,1.3
2490,1.6,-14.8,-0.1
2491,6.1,-6.1,-1.1
2492,15.1,-0.5,0.4
2493,9.2,-6.5,-0.1
2494,12.5,-3.5,-0.3
2495,20.6,3.1,2.5
2496,14.5,0.0,0.3
2497,19.9,1.5,1.2
2498,21.3,2.2,1.4
2499,16.8,0.6,0.6
2500,16.2,0.4,1.3
2501,12.1,-1.8,0.0
2502,12.4,-0.7,0.4
2503,15.8,0.9,0.9
2504,10.5,-4.5,-0.1
2505,7.4,-5.9,-0.8
2506,19.7,3.8,3.9
2507,9.3,-3.2,-0.2
2508,9.9,-3.5,-0.3
2509,21.2,-1.0,0.0
2510,18.2,-0.2,0.6
2511,6.5,-8.1,-0.1
2512,5.5,-8.0,-0.1
2513,11.9,-1.7,0.1
2514,23.6,5.1,0.0
2515,9.9,-1.9,0.0
2516,4.2,-6.1,-0.1
2517,11.0,-1.0,0.6
2518,9.0,-4.0,-0.2
2519,4.1,-7.0,-0.4
2520,6.0,-6.8,-0.1
2521,17.7,1.2,0.7
2522,11.9,-3.3,-0.5
2523,13.2,-0.2,0.4
2524,18.3,1.9,1.3
2525,13.2,-2.3,-0.1
2526,17.1,1.6,2.2
2527,13.5,-1.9,0.0
2528,17.6,1.6,1.1
2529,20.6,3.8,3.3
2530,9.8,-4.9,-0.2
2531,10.9,-7.5,-0.4
2532,14.3,-2.0,0.0
2533,13.8,-0.5,0.5
2534,13.8,-1.2,0.4
2535,6.8,-2.8,-0.2
2536,6.3,-10.9,-0.2
2537,18.0,-0.2,1.0
2538,10.3,-2.4,-0.2
2539,-0.4,-12.6,0.0
2540,17.7,0.8,1.4
2541,11.5,-5.5,-0.1
2542,18.3,2.9,2.3
2543,12.3,-1.0,0.3
2544,5.7,-5.4,-0.1
2545,8.9,-5.3,-0.1
2546,13.8,-0.3,0.7
2547,13.6,0.4,0.3
2548,11.6,-1.5,0.1
2549,8.4,-6.1,-0.2
2550,9.5,-0.5,0.4
2551,0.8,-14.3,-0.1
2552,5.5,-11.2,-0.2
2553,10.5,-4.2,-0.3
2554,16.4,-1.1,0.3
2555,12.1,-2.2,0.0
2556,12.7,-2.8,-0.2
2557,13.8,-1.4,0.3
2558,21.3,3.9,3.4
2559,12.3,-2.2,-0.1
2560,8.2,-3.1,-0.4
2561,6.0,-5.0,0.0
2562,15.0,0.0,0.8
2563,8.0,-4.4,-0.2
2564,2.4,-13.1,-0.1
2565,21.3,2.4,0.2
2566,9.1,-4.6,-0.2
2567,14.2,-2.5,-0.2
2568,6.6,-4.7,-0.2
2569,10.1,1.9,1.3
2570,8.5,-3.7,-0.1
2571,14.7,-0.2,0.5
2572,4.0,-7.0,-0.1
2573,12.7,-0.7,0.2
2574,12.6,0.8,0.8
2575,9.0,-3.0,0.0
2576,23.1,4.5,2.8
2577,12.1,-2.3,-0.1
2578,5.5,-4.1,-0.7
2579,15.1,-3.4,0.0
2580,15.3,0.4,0.9
2581,24.4,3.0,2.2
2582,10.1,-2.7,-0.2
2583,16.2,-0.1,0.5
2584,16.8,2.5,2.2
2585,12.9,-7.1,0.0
2586,10.6,-1.5,0.1
2587,7.6,-5.4,-0.6
2588,-19.0,-26.7,-0.1
2589,22.9,5.3,4.4
2590,11.3,-1.3,0.2
2591,12.5,-2.6,-0.1
2592,17.7,2.1,1.4
2593,9.8,-3.7,-0.7
2594,15.4,-0.7,0.4
2595,9.5,-4.0,-0.5
2596,11.6,-5.5,-0.1
2597,13.4,-0.9,0.6
2598,12.2,-0.7,0.2
2599,14.6,0.3,0.1
2600,10.9,-1.3,0.1
2601,9.6,-5.0,-0.1
2602,19.5,3.7,3.4
2603,12.0,-2.4,-0.2
2604,15.0,1.3,0.9
2605,19.2,-2.2,0.0
2606,-10.2,-17.2,0.0
2607,15.0,-0.4,1.0
2608,7.5,-3.7,-0.5
2609,14.0,-0.7,0.4
2610,14.0,-2.5,-0.2
2611,10.5,-2.4,-0.2
2612,25.7,6.0,2.0
2613,27.1,5.8,4.0
2614,11.5,-3.3,-0.1
2615,10.8,-1.7,0.0
2616,6.2,-6.0,-0.5
2617,10.8,-3.2,0.0
2618,13.1,-5.0,-0.6
2619,20.0,1.4,1.1
2620,12.5,-5.3,0.0
2621,16.3,2.2,1.8
2622,20.3,3.3,2.2
2623,23.0,3.7,3.0
2624,18.2,-0.5,0.4
2625,19.1,1.0,1.2
