,Player,Season,class,G,MP,PER,BPM,VORP
1810,Alize Johnson,2019-20,1.0,17.0,6.9,13.3,-1.6,0.0
1813,James Johnson,2019-20,1.0,32.0,19.3,14.8,0.0,0.3
1814,Keldon Johnson,2019-20,1.0,17.0,17.7,19.1,1.5,0.3
1823,Mfiondu Kabengele,2019-20,1.0,12.0,5.3,18.2,2.2,0.1
1824,Frank Kaminsky,2019-20,1.0,39.0,19.9,14.2,-0.5,0.3
1832,John Konchar,2019-20,1.0,19.0,9.5,18.0,4.5,0.3
1834,Luke Kornet,2019-20,1.0,36.0,15.5,12.7,-1.2,0.1
1838,Skal Labissière,2019-20,1.0,33.0,17.2,15.4,-1.3,0.1
1844,T.J. Leaf,2019-20,1.0,28.0,7.9,12.9,-2.4,0.0
1846,Courtney Lee,2019-20,1.0,24.0,14.4,10.8,-0.6,0.1
1848,Alex Len,2019-20,1.0,55.0,17.6,17.7,-0.7,0.3
1864,Ian Mahinmi,2019-20,1.0,38.0,21.3,14.2,-2.7,-0.2
1866,Terance Mann,2019-20,1.0,41.0,8.8,10.6,-1.5,0.0
1867,Boban Marjanović,2019-20,1.0,44.0,9.6,25.7,1.2,0.3
1869,Caleb Martin,2019-20,1.0,18.0,17.6,12.0,-1.0,0.1
1871,Jeremiah Martin,2019-20,1.0,9.0,11.0,21.8,3.2,0.1
1873,Frank Mason III,2019-20,1.0,9.0,13.1,16.9,0.0,0.1
1874,Garrison Mathews,2019-20,1.0,18.0,12.6,13.1,-1.1,0.1
1885,Jordan McLaughlin,2019-20,1.0,30.0,19.7,16.3,0.3,0.3
1887,Jordan McRae,2019-20,1.0,37.0,21.2,14.2,-1.5,0.1
1890,Chimezie Metu,2019-20,1.0,18.0,5.8,22.2,1.7,0.1
1893,C.J. Miles,2019-20,1.0,10.0,16.1,11.1,-1.7,0.0
1897,Shake Milton,2019-20,1.0,40.0,20.1,14.4,-1.0,0.2
1909,Johnathan Motley,2019-20,1.0,13.0,3.2,28.5,8.1,0.1
1915,Mike Muscala,2019-20,1.0,47.0,12.2,12.5,-0.1,0.3
1920,Raul Neto,2019-20,1.0,54.0,12.4,12.7,-1.8,0.0
1929,Jusuf Nurkić,2019-20,1.0,8.0,31.6,22.6,2.0,0.2
1930,David Nwaba,2019-20,1.0,20.0,13.4,14.0,1.1,0.2
1932,Kyle O'Quinn,2019-20,1.0,29.0,10.8,18.6,3.0,0.4
1934,Jahlil Okafor,2019-20,1.0,30.0,15.6,18.3,-0.2,0.2
1952,Cameron Payne,2019-20,1.0,8.0,22.9,15.7,1.7,0.2
1954,Gary Payton II,2019-20,1.0,29.0,14.9,11.3,-1.6,0.0
1964,Otto Porter Jr.,2019-20,1.0,14.0,23.6,15.8,1.0,0.3
1975,Naz Reid,2019-20,1.0,30.0,16.5,15.3,-1.9,0.0
1993,JaKarr Sampson,2019-20,1.0,34.0,13.9,12.6,-1.4,0.1
1999,Thabo Sefolosha,2019-20,1.0,41.0,10.6,9.4,-1.2,0.1
2005,Chris Silva,2019-20,1.0,44.0,7.9,17.3,-2.3,0.0
2008,Alen Smailagić,2019-20,1.0,14.0,9.9,14.5,-2.2,0.0
2026,Matt Thomas,2019-20,1.0,41.0,10.7,13.3,1.1,0.3
2034,Allonzo Trier,2019-20,1.0,24.0,12.1,14.5,-0.4,0.1
2041,Denzel Valentine,2019-20,1.0,36.0,13.6,13.0,-0.6,0.2
2045,Noah Vonleh,2019-20,1.0,36.0,10.5,15.5,-1.0,0.1
2047,Dean Wade,2019-20,1.0,12.0,5.9,13.9,-1.3,0.0
2048,Moritz Wagner,2019-20,1.0,45.0,18.6,15.1,-2.3,-0.1
2049,Dion Waiters,2019-20,1.0,10.0,20.7,11.5,-1.2,0.0
2053,Derrick Walton,2019-20,1.0,26.0,9.5,8.7,-1.0,0.1
2057,Yuta Watanabe,2019-20,1.0,18.0,5.8,11.2,-1.7,0.0
2059,Paul Watson,2019-20,1.0,10.0,8.7,12.6,-0.2,0.0
2067,Johnathan Williams,2019-20,1.0,15.0,12.0,14.0,-2.0,0.0
2071,Robert Williams,2019-20,1.0,29.0,13.4,23.1,5.1,0.7
2083,Ante Žižić,2019-20,1.0,22.0,10.0,16.4,-3.2,-0.1
2089,LaMarcus Aldridge,2020-21,1.0,26.0,25.9,15.7,-0.3,0.3
2102,Ryan Arcidiacono,2020-21,1.0,44.0,10.2,9.8,-2.3,0.0
2112,Mo Bamba,2020-21,1.0,46.0,15.8,19.3,0.1,0.4
2117,Keita Bates-Diop,2020-21,1.0,30.0,8.2,12.0,-1.9,0.0
2127,Patrick Beverley,2020-21,1.0,37.0,22.5,12.0,0.7,0.6
2131,Goga Bitadze,2020-21,1.0,45.0,12.5,16.3,-1.0,0.1
2133,Nemanja Bjelica,2020-21,1.0,37.0,16.1,12.9,-2.2,0.0
2146,Tony Bradley,2020-21,1.0,42.0,16.3,20.7,1.3,0.6
2147,Jarrell Brantley,2020-21,1.0,28.0,4.9,16.6,2.2,0.1
2152,Oshae Brissett,2020-21,1.0,21.0,24.7,17.2,0.6,0.3
2159,Moses Brown,2020-21,1.0,43.0,21.4,18.8,-2.4,-0.1
2164,Thomas Bryant,2020-21,1.0,10.0,27.1,18.7,0.9,0.2
2170,Devontae Cacok,2020-21,1.0,20.0,4.9,17.2,-1.0,0.0
2173,Vlatko Čančar,2020-21,1.0,41.0,6.9,9.7,-2.6,0.0
2177,Jevon Carter,2020-21,1.0,60.0,12.0,12.2,0.5,0.5
2182,Chris Chiozza,2020-21,1.0,22.0,10.5,12.9,-0.7,0.1
2187,Nic Claxton,2020-21,1.0,32.0,18.6,16.9,0.4,0.4
2188,Amir Coffey,2020-21,1.0,44.0,9.0,10.1,-2.0,0.0
2192,Quinn Cook,2020-21,1.0,23.0,6.8,12.7,-1.2,0.0
2193,Tyler Cook,2020-21,1.0,32.0,13.7,12.8,-3.0,-0.1
2194,DeMarcus Cousins,2020-21,1.0,41.0,17.4,16.4,0.4,0.4
2196,Torrey Craig,2020-21,1.0,50.0,16.1,14.2,0.4,0.5
2203,Ed Davis,2020-21,1.0,23.0,13.0,13.1,-2.2,0.0
2205,Gabriel Deck,2020-21,1.0,10.0,21.2,16.1,-0.4,0.1
2206,Dewayne Dedmon,2020-21,1.0,16.0,13.1,24.5,1.7,0.2
2209,Mamadi Diakite,2020-21,1.0,14.0,10.1,12.3,-2.4,0.0
2211,Gorgui Dieng,2020-21,1.0,38.0,14.5,19.2,3.4,0.7
2217,Devon Dotson,2020-21,1.0,11.0,4.5,19.3,2.1,0.1
2232,Drew Eubanks,2020-21,1.0,54.0,14.0,17.9,0.0,0.4
2234,Tacko Fall,2020-21,1.0,19.0,7.2,19.6,1.2,0.1
2236,Cristiano Felício,2020-21,1.0,18.0,4.7,14.7,0.1,0.0
