,Player,Season,class,G,MP,PER,BPM,VORP
1818,Damian Jones,2019-20,0.0,55.0,16.1,15.6,-1.5,0.1
1822,Cory Joseph,2019-20,0.0,72.0,24.4,10.1,-2.0,0.0
1833,Furkan Korkmaz,2019-20,0.0,72.0,21.7,12.0,-1.3,0.3
1835,Kyle Korver,2019-20,0.0,58.0,16.6,11.3,0.1,0.5
1837,Kyle Kuzma,2019-20,0.0,61.0,25.0,12.2,-2.6,-0.2
1847,Damion Lee,2019-20,0.0,49.0,29.0,12.7,-2.3,-0.1
1850,Meyers Leonard,2019-20,0.0,51.0,20.3,10.6,-0.9,0.3
1860,Trey Lyles,2019-20,0.0,63.0,20.2,12.6,-1.2,0.3
1865,Thon Maker,2019-20,0.0,60.0,12.9,13.7,-1.4,0.1
1875,Wesley Matthews,2019-20,0.0,67.0,24.4,8.1,-1.8,0.1
1886,Ben McLemore,2019-20,0.0,71.0,22.8,11.8,-0.5,0.6
1888,Nicolò Melli,2019-20,0.0,60.0,17.4,11.4,-1.3,0.2
1889,De'Anthony Melton,2019-20,0.0,60.0,19.5,13.5,-0.2,0.5
1901,Malik Monk,2019-20,0.0,55.0,21.3,12.6,-2.3,-0.1
1907,Markieff Morris,2019-20,0.0,58.0,20.5,12.5,-2.0,0.0
1910,Emmanuel Mudiay,2019-20,0.0,54.0,15.7,13.0,-1.9,0.0
1916,Svi Mykhailiuk,2019-20,0.0,56.0,22.6,11.2,-1.9,0.0
1917,Abdel Nader,2019-20,0.0,55.0,15.8,11.3,-1.0,0.2
1919,Shabazz Napier,2019-20,0.0,56.0,24.0,13.8,-1.1,0.3
1922,Georges Niang,2019-20,0.0,66.0,14.0,11.7,-0.1,0.4
1928,Kendrick Nunn,2019-20,0.0,67.0,29.3,12.9,-2.3,-0.1
1936,Josh Okogie,2019-20,0.0,62.0,25.0,11.5,-2.4,-0.2
1947,Eric Paschall,2019-20,0.0,60.0,27.6,14.5,-2.7,-0.3
1949,Patrick Patterson,2019-20,0.0,59.0,13.2,11.5,0.3,0.5
1965,Bobby Portis,2019-20,0.0,66.0,21.1,14.6,-1.1,0.3
1976,Josh Richardson,2019-20,0.0,55.0,30.8,12.0,-1.8,0.1
1980,Glenn Robinson III,2019-20,0.0,62.0,28.8,13.3,-1.7,0.1
1985,Rajon Rondo,2019-20,0.0,48.0,20.5,12.4,-1.4,0.2
1998,Mike Scott,2019-20,0.0,68.0,17.8,11.2,-1.8,0.1
2011,Ish Smith,2019-20,0.0,68.0,26.3,13.9,-1.3,0.3
2014,Tony Snell,2019-20,0.0,59.0,27.8,9.7,-1.8,0.1
2015,Omari Spellman,2019-20,0.0,49.0,18.1,14.4,-1.8,0.1
2020,Jeff Teague,2019-20,0.0,59.0,24.8,14.6,-1.5,0.2
2021,Garrett Temple,2019-20,0.0,62.0,27.9,10.5,-1.1,0.4
2029,Matisse Thybulle,2019-20,0.0,65.0,19.8,10.0,0.3,0.8
2033,Gary Trent Jr.,2019-20,0.0,61.0,21.8,12.9,-0.3,0.6
2035,P.J. Tucker,2019-20,0.0,72.0,34.3,8.3,-1.9,0.1
2054,Brad Wanamaker,2019-20,0.0,71.0,19.3,12.8,-0.6,0.5
2056,P.J. Washington,2019-20,0.0,58.0,30.3,12.4,-1.6,0.2
2070,Marvin Williams,2019-20,0.0,58.0,19.5,11.2,-0.6,0.4
2079,Thaddeus Young,2019-20,0.0,64.0,24.9,13.3,-1.2,0.3
2091,Nickeil Alexander-Walker,2020-21,0.0,46.0,21.9,12.5,-1.3,0.2
2092,Grayson Allen,2020-21,0.0,50.0,25.2,12.8,-0.2,0.6
2099,Carmelo Anthony,2020-21,0.0,69.0,24.5,14.6,-1.1,0.4
2103,Trevor Ariza,2020-21,0.0,30.0,28.0,11.9,-1.1,0.2
2104,D.J. Augustin,2020-21,0.0,57.0,19.8,12.1,-2.1,0.0
2109,Marvin Bagley III,2020-21,0.0,43.0,25.9,16.3,-3.1,-0.3
2113,Desmond Bane,2020-21,0.0,68.0,22.3,12.2,-0.8,0.5
2116,Will Barton,2020-21,0.0,56.0,31.0,11.8,-1.9,0.1
2120,Kent Bazemore,2020-21,0.0,67.0,19.9,10.6,-1.2,0.2
2125,DeAndre' Bembry,2020-21,0.0,51.0,19.1,11.2,-1.9,0.0
2126,Dāvis Bertāns,2020-21,0.0,57.0,25.7,11.4,-0.8,0.4
2130,Khem Birch,2020-21,0.0,67.0,22.8,15.1,-1.0,0.4
2134,Eric Bledsoe,2020-21,0.0,71.0,29.7,11.5,-2.0,0.0
