,Player,Season,class,G,MP,PER,BPM,VORP
2119,Aron Baynes,2020-21,1.0,53.0,18.5,10.5,-4.5,-0.6
2121,Darius Bazley,2020-21,1.0,55.0,31.2,9.7,-4.4,-1.0
2132,Bismack Biyombo,2020-21,1.0,66.0,20.4,11.7,-3.0,-0.4
2155,Dillon Brooks,2020-21,1.0,67.0,29.8,12.1,-3.7,-0.9
2215,Luguentz Dort,2020-21,1.0,52.0,29.7,10.1,-3.5,-0.6
2216,Damyean Dotson,2020-21,1.0,46.0,19.7,8.1,-4.8,-0.6
2219,PJ Dozier,2020-21,1.0,50.0,21.8,10.4,-2.6,-0.2
2242,Malachi Flynn,2020-21,1.0,47.0,19.7,10.9,-2.6,-0.1
2265,Brandon Goodwin,2020-21,1.0,47.0,13.2,9.2,-3.1,-0.2
2278,Rui Hachimura,2020-21,1.0,57.0,31.5,11.4,-3.1,-0.5
2283,R.J. Hampton,2020-21,1.0,51.0,17.4,11.1,-3.8,-0.4
2289,Gary Harris,2020-21,1.0,39.0,27.7,9.1,-4.2,-0.6
2300,Juancho Hernangómez,2020-21,1.0,52.0,17.3,12.1,-2.9,-0.2
2305,Solomon Hill,2020-21,1.0,71.0,21.3,6.7,-2.5,-0.2
2308,Aaron Holiday,2020-21,1.0,66.0,17.8,9.2,-4.2,-0.7
2316,Danuel House Jr.,2020-21,1.0,36.0,25.9,9.1,-3.5,-0.3
2332,Josh Jackson,2020-21,1.0,62.0,25.2,12.0,-3.0,-0.4
2345,Stanley Johnson,2020-21,1.0,61.0,16.5,8.8,-2.5,-0.1
2380,Kira Lewis Jr.,2020-21,1.0,54.0,16.7,10.3,-3.4,-0.3
2389,Timothé Luwawu-Cabarrot,2020-21,1.0,58.0,18.1,7.8,-4.4,-0.6
2393,Théo Maledon,2020-21,1.0,65.0,27.4,8.2,-5.0,-1.3
2400,Caleb Martin,2020-21,1.0,53.0,15.4,9.5,-3.4,-0.3
2401,Cody Martin,2020-21,1.0,52.0,16.3,10.6,-2.0,0.0
2408,Wesley Matthews,2020-21,1.0,58.0,19.5,7.2,-1.7,0.1
2414,Jaden McDaniels,2020-21,1.0,63.0,24.0,8.9,-3.5,-0.6
2415,Jalen McDaniels,2020-21,1.0,47.0,19.2,11.4,-3.2,-0.3
2422,Ben McLemore,2020-21,1.0,53.0,17.1,8.5,-3.9,-0.4
2439,Markieff Morris,2020-21,1.0,61.0,19.7,9.3,-2.6,-0.2
2445,Svi Mykhailiuk,2020-21,1.0,66.0,20.1,10.4,-2.6,-0.2
2448,Aaron Nesmith,2020-21,1.0,46.0,14.5,9.4,-3.2,-0.2
2453,Jaylen Nowell,2020-21,1.0,42.0,18.1,12.3,-2.8,-0.2
2461,Semi Ojeleye,2020-21,1.0,56.0,17.0,8.3,-2.4,-0.1
2464,Josh Okogie,2020-21,1.0,59.0,20.3,9.1,-3.3,-0.4
2466,Isaac Okoro,2020-21,1.0,67.0,32.4,7.9,-5.1,-1.7
2471,Miye Oni,2020-21,1.0,54.0,9.6,6.4,-1.7,0.0
2472,Cedi Osman,2020-21,1.0,59.0,25.6,10.3,-3.2,-0.5
2482,Elfrid Payton,2020-21,1.0,63.0,23.6,11.7,-3.0,-0.4
2493,Kevin Porter Jr.,2020-21,1.0,26.0,32.1,12.5,-3.5,-0.3
2506,Cam Reddish,2020-21,1.0,26.0,28.8,9.3,-3.2,-0.2
2507,J.J. Redick,2020-21,1.0,44.0,16.4,9.9,-3.5,-0.3
2514,Austin Rivers,2020-21,1.0,36.0,23.5,9.9,-1.9,0.0
2521,Isaiah Roby,2020-21,1.0,61.0,23.4,11.9,-3.3,-0.5
2534,Mike Scott,2020-21,1.0,51.0,16.7,6.8,-2.8,-0.2
2537,Landry Shamet,2020-21,1.0,61.0,23.0,10.3,-2.4,-0.2
2555,Edmond Sumner,2020-21,1.0,53.0,16.2,12.7,-2.8,-0.2
2559,Garrett Temple,2020-21,1.0,56.0,27.3,8.2,-3.1,-0.4
2577,P.J. Tucker,2020-21,1.0,52.0,26.1,5.5,-4.1,-0.7
2581,Denzel Valentine,2020-21,1.0,62.0,16.7,10.1,-2.7,-0.2
2592,Lonnie Walker IV,2020-21,1.0,60.0,25.4,9.8,-3.7,-0.7
2594,Brad Wanamaker,2020-21,1.0,61.0,17.3,9.5,-4.0,-0.5
2607,Grant Williams,2020-21,1.0,63.0,18.1,7.5,-3.7,-0.5
2617,James Wiseman,2020-21,1.0,39.0,21.4,13.1,-5.0,-0.6
