,player,year,g,mp,per,bpm,vorp,class
1730,Jordan McRae,2018-19,27.0,12.3,14.3,-1.7,0.0,below average
1731,Jodie Meeks,2018-19,8.0,13.0,16.0,0.5,0.1,below average
1732,Salah Mejri,2018-19,36.0,11.1,16.1,0.8,0.3,below average
1733,Malcolm Miller,2018-19,10.0,6.7,13.7,-0.5,0.0,below average
1734,Greg Monroe,2018-19,43.0,11.2,16.0,-3.2,-0.1,below average
1735,Johnathan Motley,2018-19,22.0,7.1,18.9,-1.9,0.0,below average
1736,Raul Neto,2018-19,37.0,12.8,13.5,-0.3,0.2,below average
1737,Georges Niang,2018-19,59.0,8.7,13.0,0.0,0.3,below average
1738,Joakim Noah,2018-19,42.0,16.5,18.6,2.1,0.7,below average
1739,Kyle O'Quinn,2018-19,45.0,8.2,16.8,0.4,0.2,below average
1740,Jahlil Okafor,2018-19,59.0,15.8,17.9,-1.5,0.1,below average
1741,Miles Plumlee,2018-19,18.0,9.6,18.9,1.6,0.2,below average
1742,Quincy Pondexter,2018-19,53.0,5.5,13.2,-0.9,0.1,below average
1743,Ivan Rabb,2018-19,49.0,14.7,16.1,-1.4,0.1,below average
1744,Devin Robinson,2018-19,7.0,13.6,20.6,1.9,0.1,below average
1745,Thabo Sefolosha,2018-19,50.0,12.2,12.1,1.5,0.5,below average
1746,Omari Spellman,2018-19,46.0,17.5,12.4,-1.2,0.2,below average
1747,Daniel Theis,2018-19,66.0,13.8,17.0,0.0,0.5,below average
1748,Ekpe Udoh,2018-19,51.0,6.3,20.9,4.7,0.5,below average
1749,Brad Wanamaker,2018-19,36.0,9.5,14.3,-0.7,0.1,below average
1750,Thomas Welsh,2018-19,11.0,3.3,16.1,1.2,0.0,below average
1751,Johnathan Williams,2018-19,24.0,15.5,15.1,-3.2,-0.1,below average
1752,Robert Williams,2018-19,32.0,8.8,18.8,1.8,0.3,below average
1753,Christian Wood,2018-19,21.0,12.0,21.9,0.4,0.1,below average
1754,Guerschon Yabusele,2018-19,41.0,6.1,12.4,-2.7,0.0,below average
1755,Grayson Allen,2019-20,38.0,18.9,12.0,-1.3,0.1,below average
1756,Kadeem Allen,2019-20,10.0,11.7,14.0,-0.9,0.0,below average
1757,Marvin Bagley III,2019-20,13.0,25.7,15.6,-3.5,-0.1,below average
1758,Mo Bamba,2019-20,62.0,14.2,17.5,0.4,0.5,below average
1759,J.J. Barea,2019-20,29.0,15.5,14.6,-1.4,0.1,below average
1760,Keita Bates-Diop,2019-20,44.0,16.9,12.4,-1.4,0.1,below average
1761,Aron Baynes,2019-20,42.0,22.2,15.2,-1.0,0.2,below average
1762,Jordan Bell,2019-20,29.0,8.8,13.9,-2.5,0.0,below average
1763,Goga Bitadze,2019-20,54.0,8.7,12.1,-2.3,0.0,below average
1764,Bol Bol,2019-20,7.0,12.4,14.4,-3.0,0.0,below average
1765,Tony Bradley,2019-20,58.0,11.4,21.7,1.3,0.6,below average
1766,Ryan Broekhoff,2019-20,17.0,10.6,13.1,0.8,0.1,below average
1767,Trey Burke,2019-20,33.0,15.8,15.6,-0.2,0.2,below average
1768,Bruno Caboclo,2019-20,30.0,8.1,14.1,-2.1,0.0,below average
1769,Michael Carter-Williams,2019-20,45.0,18.5,15.3,0.1,0.5,below average
1770,Tyson Chandler,2019-20,26.0,8.4,10.8,-1.5,0.0,below average
1771,Chris Chiozza,2019-20,28.0,14.3,12.0,-1.2,0.1,below average
1772,Gary Clark,2019-20,42.0,13.5,10.7,-1.9,0.0,below average
1773,Nic Claxton,2019-20,15.0,12.5,14.8,-0.7,0.1,below average
1774,Chris Clemons,2019-20,33.0,8.8,13.1,-1.0,0.1,below average
1775,Tyler Cook,2019-20,13.0,4.2,19.4,-0.2,0.0,below average
1776,Cheick Diallo,2019-20,47.0,10.2,16.5,-1.3,0.1,below average
1777,Jared Dudley,2019-20,45.0,8.1,7.8,-0.7,0.1,below average
1778,Drew Eubanks,2019-20,22.0,12.4,17.3,-1.8,0.0,below average
1779,Tacko Fall,2019-20,7.0,4.7,28.4,6.5,0.1,below average
1780,Cristiano Felício,2019-20,22.0,17.5,12.8,-3.1,-0.1,below average
